r,z
0.013486777366465,0.0015071036653018794
0.01347355255840917,0.0015142032814916882
0.013460325475641735,0.001521298658821264
0.013447096021075076,0.0015283896128955327
0.013433864100645903,0.0015354759645236093
0.013420629623237541,0.0015425575395740189
0.013407392500604225,0.0015496341688338254
0.013394152647296454,0.0015567056878716856
0.01338090998058837,0.0015637719369046613
0.013367664420406461,0.0015708327606688151
0.01335441588925991,0.0015778880082933833
0.013341164312172525,0.0015849375331785439
0.013327909616616116,0.0015919811928766018
0.01331465173244556,0.0015990188489766097
0.013301390591835233,0.0016060503669922351
0.013288126129217185,0.0016130756162528782
0.013274858281220438,0.0016200944697978923
0.01326158698661204,0.0016271068042738525
0.013248312186239604,0.0016341124998347906
0.013235033822975,0.0016411114400453378
0.01322175184165961,0.0016481035117866137
